Code,Title,Description,IPCC Report,URL
SSP1-1.9,Very Low Emissions (1.9 W/m2),Limits warming to 1.5 degrees C. Requires net zero CO2 around 2050 followed by net negative emissions.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP1-2.6,Low Emissions (2.6 W/m2),Limits warming to well below 2 degrees C. Strong mitigation with CO2 emissions reaching net zero after 2050.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP2-4.5,Intermediate Emissions (4.5 W/m2),Intermediate emissions following broadly historical social and economic trends with moderate mitigation.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP3-7.0,High Emissions (7.0 W/m2),High emissions assuming regional rivalry and no additional climate policies.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP4-3.4,Low to Intermediate Emissions (3.4 W/m2),Low to intermediate emissions assuming high inequality between and within countries with moderate mitigation efforts.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP4-6.0,High Emissions (6.0 W/m2),High emissions assuming high inequality between and within countries and limited mitigation.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP5-3.4,Low to Intermediate Emissions - Overshoot (3.4 W/m2),Overshoot pathway following high emissions before rapid decline to 3.4 W/m2 by 2100. Paired with SSP4-3.4 but assumes fossil-fuel intensive development with late-century mitigation.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP5-8.5,Very High Emissions (8.5 W/m2),Very high emissions assuming fossil-fuel intensive development and no mitigation. Upper bound of the scenario range.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
RCP2.6,Very Low Emissions (RCP2.6),Very stringent mitigation pathway requiring net negative greenhouse gas emissions after 2070.,IPCC AR5,https://www.ipcc.ch/report/ar5/wg1/
RCP4.5,Intermediate Emissions (RCP4.5),Intermediate stabilisation pathway with moderate mitigation efforts.,IPCC AR5,https://www.ipcc.ch/report/ar5/wg1/
RCP6.0,High Emissions (RCP6.0),Stabilisation pathway in which emissions peak around 2080 then decline.,IPCC AR5,https://www.ipcc.ch/report/ar5/wg1/
RCP8.5,Very High Emissions (RCP8.5),High-end baseline with continuously rising emissions throughout the 21st century.,IPCC AR5,https://www.ipcc.ch/report/ar5/wg1/
CMIP7-H,High Emissions,Emissions grow as high as plausibly possible consistent with a rollback of current climate policies. Expected warming of around 3.5 degrees C by 2100 continuing to rise thereafter.,IPCC AR7,https://gmd.copernicus.org/articles/19/2627/2026/
CMIP7-HL,High-to-Low Emissions,Emissions initially follow the High scenario then are cut sharply in the second half of the century reaching net zero by 2100. Explores a late but rapid decarbonisation trajectory.,IPCC AR7,https://gmd.copernicus.org/articles/19/2627/2026/
CMIP7-M,Medium Emissions,Emissions consistent with current policies frozen as of 2025 leading to moderate warming above 3 degrees C by 2100. Serves as the primary baseline scenario for CMIP7.,IPCC AR7,https://gmd.copernicus.org/articles/19/2627/2026/
CMIP7-ML,Medium-to-Low Emissions,Emissions are slowly reduced eventually reaching net zero GHG emissions before 2100. Consistent with a gradual strengthening of current climate policies.,IPCC AR7,https://gmd.copernicus.org/articles/19/2627/2026/
CMIP7-L,Low Emissions,Emissions consistent with likely keeping warming below 2 degrees C without returning to 1.5 degrees C before the end of the century.,IPCC AR7,https://gmd.copernicus.org/articles/19/2627/2026/
CMIP7-LN,Low-to-Negative Emissions,Emissions fall slightly slower than the Very Low scenario with temperatures initially rising above 1.5 degrees C before rapidly declining to negative to bring warming back down.,IPCC AR7,https://gmd.copernicus.org/articles/19/2627/2026/
CMIP7-VL,Very Low Emissions,Emissions cut to keep warming as low as plausibly achievable. Limits warming to approximately 1.5 degrees C by end of century with limited overshoot. Reaches net zero CO2 around 2055 then relies on net negative emissions.,IPCC AR7,https://gmd.copernicus.org/articles/19/2627/2026/
