code,title,description,ipcc_report,url
SSP1-1.9,Very Low Emissions (1.9 W/m2),Limits warming to 1.5 degrees C. Requires net zero CO2 around 2050 followed by net negative emissions.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP1-2.6,Low Emissions (2.6 W/m2),Limits warming to well below 2 degrees C. Strong mitigation with CO2 emissions reaching net zero after 2050.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP2-4.5,Intermediate Emissions (4.5 W/m2),Intermediate emissions following broadly historical social and economic trends with moderate mitigation.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP3-7.0,High Emissions (7.0 W/m2),High emissions assuming regional rivalry and no additional climate policies.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP4-3.4,Low to Intermediate Emissions (3.4 W/m2),Low to intermediate emissions assuming high inequality between and within countries with moderate mitigation efforts.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP4-6.0,High Emissions (6.0 W/m2),High emissions assuming high inequality between and within countries and limited mitigation.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
SSP5-8.5,Very High Emissions (8.5 W/m2),Very high emissions assuming fossil-fuel intensive development and no mitigation. Upper bound of the scenario range.,IPCC AR6,https://www.ipcc.ch/report/ar6/wg1/
RCP2.6,Very Low Emissions (RCP2.6),Very stringent mitigation pathway requiring net negative greenhouse gas emissions after 2070.,IPCC AR5,https://www.ipcc.ch/report/ar5/wg1/
RCP4.5,Intermediate Emissions (RCP4.5),Intermediate stabilisation pathway with moderate mitigation efforts.,IPCC AR5,https://www.ipcc.ch/report/ar5/wg1/
RCP6.0,High Emissions (RCP6.0),Stabilisation pathway in which emissions peak around 2080 then decline.,IPCC AR5,https://www.ipcc.ch/report/ar5/wg1/
RCP8.5,Very High Emissions (RCP8.5),High-end baseline with continuously rising emissions throughout the 21st century.,IPCC AR5,https://www.ipcc.ch/report/ar5/wg1/
